Thema;Basti;Max;Date;
Spec;6;1;07.12.2012;
;1;1;14.12.2012;
;3;;04.02.2013;
;2;;06.02.2013;
Design;3;3;01.02.2013;
;4;2;01.03.2013;
;3;1;20.08.2013;
;4;2;14.01.2014;
Dev;4;;02.02.2013;
;3;;03.02.2013;
;2;4;04.02.2013;
;1;;06.02.2013;
;3;;07.02.2013;
;2;;08.02.2013;
;1;;09.02.2013;
;2;;11.02.2013;
;1;;12.02.2013;
;4;;16.02.2013;
;3;;20.02.2013;
;2;;23.02.2013;
;1;3;24.02.2013;
;3;;01.03.2013;
;;6;03.03.2013;
;4;;10.04.2013;
;;4;04.05.2013;
;0,5;;05.05.2013;
;;3;05.06.2013;
;;1;27.07.2013;
;3;1;31.07.2013;
;;2;01.08.2013;
;2;;05.08.2013;
;;0,5;06.08.2013;
;1;2;10.08.2013;
;0,5;0,5;12.08.2013;
;3;;13.08.2013;
;;1,5;16.08.2013;
;1;;17.08.2013;
;2;;18.08.2013;
;1;2;19.08.2013;
;1;0,5;16.09.2013;
;2;2;17.09.2013;
;0,5;;18.09.2013;
;3;;04.01.2014;
;3;;11.01.2014;
;1;;12.01.2014;
;2;;13.01.2014;
;1;;14.01.2014;
;7;;16.01.2014;
;6;;17.01.2014;
;;3;22.01.2014;
;4;;17.03.2014;Rohrer Anforderungen
;5;1;18.03.2014;Rohrer Anforderungen
